LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
93,14.0,42.0,964.0,960.0,8.25,3.885,0.28,0.51,4.86,0.0
94,14.1,42.0,957.0,960.0,8.25,3.763,0.85,0.52,4.86,0.0
94,14.0,42.0,959.0,960.0,8.25,3.821,0.21,0.51,4.86,0.0
94,14.1,42.0,973.0,960.0,0.75,3.846,0.25,0.52,4.86,0.0
95,14.1,42.0,970.0,960.0,6.0,3.77,0.84,0.51,4.86,0.0
95,14.1,42.0,968.0,960.0,3.75,3.712,0.57,0.51,4.86,0.0
96,14.1,42.0,958.0,960.0,3.75,3.859,0.21,0.52,4.86,0.0
96,14.1,42.0,969.0,960.0,2.25,3.808,0.77,0.52,4.86,0.0
96,14.0,42.0,955.0,960.0,6.75,3.782,0.84,0.52,4.86,0.0
97,14.0,42.0,955.0,960.0,6.0,3.859,0.22,0.51,4.86,0.0
97,14.1,42.75,965.0,960.0,4.5,3.782,0.73,0.52,4.86,0.0
98,14.0,42.75,964.0,960.0,3.0,3.68,0.74,0.52,4.79,0.0
98,14.1,42.75,962.0,960.0,2.25,3.84,0.19,0.52,4.86,0.0
101,14.1,42.75,960.0,950.0,2.25,3.77,0.21,0.52,4.74,0.0
101,14.0,42.75,968.0,950.0,0.75,3.834,0.38,0.52,4.74,0.0
102,14.0,43.5,959.0,950.0,1.5,3.712,0.86,0.51,4.66,0.0
102,14.0,43.5,955.0,950.0,5.25,3.578,0.82,0.52,4.66,0.0
102,14.0,43.5,957.0,950.0,0.75,3.763,0.18,0.52,4.66,0.0
103,14.0,43.5,961.0,950.0,6.75,3.712,0.81,0.51,4.66,0.0
103,14.0,43.5,957.0,950.0,2.25,3.571,0.8,0.52,4.66,0.0
104,14.1,43.5,957.0,950.0,4.5,3.68,0.19,0.52,4.61,0.0
104,14.1,43.5,960.0,950.0,5.25,3.674,0.68,0.52,4.66,0.0
105,14.0,43.5,947.0,950.0,11.25,3.693,0.29,0.52,4.74,0.0
105,14.1,43.5,960.0,950.0,4.5,3.686,0.79,0.52,4.66,0.0
106,14.1,43.5,948.0,950.0,8.25,3.699,0.83,0.51,4.61,0.0
106,14.1,44.25,949.0,950.0,7.5,3.789,0.23,0.52,4.61,0.0
106,14.1,44.25,950.0,950.0,6.75,3.821,0.65,0.52,4.61,0.0
107,14.0,44.25,952.0,950.0,6.0,3.635,0.83,0.51,4.66,0.0
107,14.0,44.25,947.0,950.0,7.5,3.654,0.25,0.52,4.66,0.0
108,14.0,44.25,951.0,950.0,4.5,3.757,0.2,0.52,4.66,0.0
108,14.1,44.25,959.0,950.0,3.0,3.738,0.27,0.52,4.54,0.0
109,14.1,44.25,950.0,940.0,5.25,3.712,0.19,0.52,4.54,0.0
109,14.1,44.25,953.0,940.0,6.0,3.725,0.22,0.52,4.49,0.0
110,14.0,44.25,952.0,940.0,9.0,3.597,0.85,0.52,4.49,0.0
110,14.0,45.0,947.0,940.0,4.5,3.718,0.28,0.52,4.49,0.0
111,14.0,45.0,951.0,940.0,1.5,3.68,0.81,0.52,4.49,0.0
